"","id","month","year","store","quantity","Profit","size","cheese","Dough","Topping"
"1",2,9,2018,5,2,160,"xlarge","cheddar","stuffed crust","onions"
"2",4,1,2017,1,3,210,"personal","Swiss","whole wheat thin","pepperoni"
"3",4,1,2017,1,3,210,"xlarge","Swiss","stuffed crust","onions"
"4",4,1,2017,1,3,210,"xlarge","Mozzarella","stuffed crust","onions"
"5",4,3,2020,1,1,70,"personal","Swiss","whole wheat thin","pepperoni"
"6",4,3,2020,1,1,70,"xlarge","Swiss","stuffed crust","onions"
"7",4,3,2020,1,1,70,"xlarge","Mozzarella","stuffed crust","onions"
"8",4,7,2017,2,3,240,"personal","Swiss","whole wheat thin","pepperoni"
"9",4,7,2017,2,3,240,"xlarge","Swiss","stuffed crust","onions"
"10",4,7,2017,2,3,240,"xlarge","Mozzarella","stuffed crust","onions"
"11",5,7,2020,5,3,210,"small","Mozzarella","stuffed crust","tomatoes"
"12",5,7,2020,5,3,210,"xlarge","Swiss"," white regular","pepper"
"13",5,7,2020,5,3,210,"xlarge","Swiss","whole wheat thin","tomatoes"
"14",5,7,2020,5,3,210,"xlarge","cheddar"," white regular","pepperoni"
"15",5,7,2020,5,3,210,"small","Swiss","whole wheat thin","tomatoes"
"16",5,7,2020,5,3,210,"personal","Mozzarella"," white regular","pepperoni"
"17",5,11,2019,4,3,210,"small","Mozzarella","stuffed crust","tomatoes"
"18",5,11,2019,4,3,210,"xlarge","Swiss"," white regular","pepper"
"19",5,11,2019,4,3,210,"xlarge","Swiss","whole wheat thin","tomatoes"
"20",5,11,2019,4,3,210,"xlarge","cheddar"," white regular","pepperoni"
"21",5,11,2019,4,3,210,"small","Swiss","whole wheat thin","tomatoes"
"22",5,11,2019,4,3,210,"personal","Mozzarella"," white regular","pepperoni"
"23",5,10,2020,1,2,140,"small","Mozzarella","stuffed crust","tomatoes"
"24",5,10,2020,1,2,140,"xlarge","Swiss"," white regular","pepper"
"25",5,10,2020,1,2,140,"xlarge","Swiss","whole wheat thin","tomatoes"
"26",5,10,2020,1,2,140,"xlarge","cheddar"," white regular","pepperoni"
"27",5,10,2020,1,2,140,"small","Swiss","whole wheat thin","tomatoes"
"28",5,10,2020,1,2,140,"personal","Mozzarella"," white regular","pepperoni"
"29",5,6,2019,2,3,240,"small","Mozzarella","stuffed crust","tomatoes"
"30",5,6,2019,2,3,240,"xlarge","Swiss"," white regular","pepper"
"31",5,6,2019,2,3,240,"xlarge","Swiss","whole wheat thin","tomatoes"
"32",5,6,2019,2,3,240,"xlarge","cheddar"," white regular","pepperoni"
"33",5,6,2019,2,3,240,"small","Swiss","whole wheat thin","tomatoes"
"34",5,6,2019,2,3,240,"personal","Mozzarella"," white regular","pepperoni"
"35",5,1,2017,5,2,140,"small","Mozzarella","stuffed crust","tomatoes"
"36",5,1,2017,5,2,140,"xlarge","Swiss"," white regular","pepper"
"37",5,1,2017,5,2,140,"xlarge","Swiss","whole wheat thin","tomatoes"
"38",5,1,2017,5,2,140,"xlarge","cheddar"," white regular","pepperoni"
"39",5,1,2017,5,2,140,"small","Swiss","whole wheat thin","tomatoes"
"40",5,1,2017,5,2,140,"personal","Mozzarella"," white regular","pepperoni"
"41",5,10,2020,2,2,140,"small","Mozzarella","stuffed crust","tomatoes"
